starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 13 20:18:14 2023	1697253494	0	841	841	671
Fri Oct 13 20:18:10 2023	1697253490	0	841	841	505
Fri Oct 13 20:18:09 2023	1697253489	0	841	841	749
Fri Oct 13 20:18:07 2023	1697253487	0	841	841	799
Fri Oct 13 20:18:09 2023	1697253489	0	841	841	632
Fri Oct 13 20:18:11 2023	1697253491	0	842	842	711
Fri Oct 13 20:18:15 2023	1697253495	0	842	842	800
Fri Oct 13 20:18:13 2023	1697253493	1	842	843	738
Fri Oct 13 20:18:12 2023	1697253492	0	843	843	787
Fri Oct 13 20:18:09 2023	1697253489	0	844	844	235
Fri Oct 13 20:18:14 2023	1697253494	1	844	844	347
Fri Oct 13 20:18:11 2023	1697253491	1	844	845	660
Fri Oct 13 20:18:10 2023	1697253490	2	843	845	656
Fri Oct 13 20:18:14 2023	1697253494	1	844	845	550
Fri Oct 13 20:18:13 2023	1697253493	1	845	846	570
Fri Oct 13 20:18:13 2023	1697253493	1	846	846	650
Fri Oct 13 20:18:07 2023	1697253487	0	846	846	836
Fri Oct 13 20:18:14 2023	1697253494	1	846	847	662
Fri Oct 13 20:18:14 2023	1697253494	0	847	847	726
Fri Oct 13 20:18:08 2023	1697253488	0	847	847	546
Fri Oct 13 20:18:10 2023	1697253490	1	848	848	811
Fri Oct 13 20:18:17 2023	1697253497	0	848	848	717
Fri Oct 13 20:18:13 2023	1697253493	0	848	848	707
Fri Oct 13 20:18:10 2023	1697253490	0	849	849	500
Fri Oct 13 20:18:08 2023	1697253488	0	850	850	618
Fri Oct 13 20:18:13 2023	1697253493	1	849	850	707
Fri Oct 13 20:18:14 2023	1697253494	2	849	850	714
Fri Oct 13 20:18:13 2023	1697253493	1	850	850	629
Fri Oct 13 20:18:10 2023	1697253490	0	851	851	559
Fri Oct 13 20:18:10 2023	1697253490	0	851	851	531
Fri Oct 13 20:18:13 2023	1697253493	1	851	851	728
Fri Oct 13 20:18:08 2023	1697253488	0	851	851	549
Fri Oct 13 20:18:13 2023	1697253493	0	852	852	527
Fri Oct 13 20:18:14 2023	1697253494	0	852	852	462
Fri Oct 13 20:18:10 2023	1697253490	0	852	852	582
Fri Oct 13 20:18:10 2023	1697253490	0	853	853	518
Fri Oct 13 20:18:17 2023	1697253497	0	853	853	720
Fri Oct 13 20:18:06 2023	1697253486	1	853	853	699
Fri Oct 13 20:18:10 2023	1697253490	0	853	853	538
Fri Oct 13 20:18:10 2023	1697253490	0	853	853	522
Fri Oct 13 20:18:14 2023	1697253494	0	853	853	718
Fri Oct 13 20:18:11 2023	1697253491	1	853	854	709
Fri Oct 13 20:18:13 2023	1697253493	0	854	854	620
Fri Oct 13 20:18:10 2023	1697253490	0	855	855	540
Fri Oct 13 20:18:10 2023	1697253490	0	855	855	613
Fri Oct 13 20:18:07 2023	1697253487	0	855	855	801
Fri Oct 13 20:18:13 2023	1697253493	0	855	855	714
Fri Oct 13 20:18:06 2023	1697253486	0	855	856	786
