starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 13 20:18:16 2023	1697253496	0	693	693	552
Fri Oct 13 20:18:16 2023	1697253496	2	694	696	637
Fri Oct 13 20:18:15 2023	1697253495	0	696	696	556
Fri Oct 13 20:18:07 2023	1697253487	0	697	697	640
Fri Oct 13 20:18:07 2023	1697253487	0	697	697	633
Fri Oct 13 20:18:07 2023	1697253487	0	698	698	656
Fri Oct 13 20:18:16 2023	1697253496	1	698	699	689
Fri Oct 13 20:18:08 2023	1697253488	0	700	700	571
Fri Oct 13 20:18:10 2023	1697253490	0	701	701	622
Fri Oct 13 20:18:09 2023	1697253489	0	701	701	591
Fri Oct 13 20:18:09 2023	1697253489	0	701	701	592
Fri Oct 13 20:18:10 2023	1697253490	0	701	701	571
Fri Oct 13 20:18:05 2023	1697253485	0	701	701	361
Fri Oct 13 20:18:09 2023	1697253489	0	701	701	564
Fri Oct 13 20:18:09 2023	1697253489	2	701	702	586
Fri Oct 13 20:18:07 2023	1697253487	1	702	703	602
Fri Oct 13 20:18:09 2023	1697253489	0	703	703	626
Fri Oct 13 20:18:16 2023	1697253496	1	703	703	654
Fri Oct 13 20:18:12 2023	1697253492	1	703	704	646
Fri Oct 13 20:18:13 2023	1697253493	3	702	704	561
Fri Oct 13 20:18:07 2023	1697253487	0	705	705	624
Fri Oct 13 20:18:15 2023	1697253495	1	705	705	694
Fri Oct 13 20:18:16 2023	1697253496	0	707	707	602
Fri Oct 13 20:18:06 2023	1697253486	0	707	707	667
Fri Oct 13 20:18:05 2023	1697253485	0	707	707	397
Fri Oct 13 20:18:06 2023	1697253486	0	708	708	661
Fri Oct 13 20:18:06 2023	1697253486	0	709	709	676
Fri Oct 13 20:18:10 2023	1697253490	1	709	710	536
Fri Oct 13 20:18:16 2023	1697253496	0	710	710	664
Fri Oct 13 20:18:06 2023	1697253486	1	709	710	680
Fri Oct 13 20:18:11 2023	1697253491	0	711	711	673
Fri Oct 13 20:18:15 2023	1697253495	0	712	712	672
Fri Oct 13 20:18:06 2023	1697253486	0	715	715	661
Fri Oct 13 20:18:05 2023	1697253485	0	716	716	411
Fri Oct 13 20:18:13 2023	1697253493	0	717	717	566
Fri Oct 13 20:18:11 2023	1697253491	0	717	717	660
Fri Oct 13 20:18:12 2023	1697253492	1	718	718	644
Fri Oct 13 20:18:08 2023	1697253488	0	719	719	624
Fri Oct 13 20:18:05 2023	1697253485	1	719	720	419
Fri Oct 13 20:18:16 2023	1697253496	1	719	720	657
Fri Oct 13 20:18:09 2023	1697253489	0	721	721	613
Fri Oct 13 20:18:12 2023	1697253492	0	721	721	644
Fri Oct 13 20:18:06 2023	1697253486	0	722	722	684
Fri Oct 13 20:18:17 2023	1697253497	1	721	722	592
Fri Oct 13 20:18:06 2023	1697253486	0	722	722	653
Fri Oct 13 20:18:07 2023	1697253487	0	723	723	675
Fri Oct 13 20:18:10 2023	1697253490	5	718	723	612
Fri Oct 13 20:18:12 2023	1697253492	1	722	723	648
Fri Oct 13 20:18:08 2023	1697253488	0	723	723	459
Fri Oct 13 20:18:05 2023	1697253485	0	723	723	423
Fri Oct 13 20:18:08 2023	1697253488	0	725	725	638
Fri Oct 13 20:18:17 2023	1697253497	1	726	726	665
Fri Oct 13 20:18:11 2023	1697253491	1	726	726	698
Fri Oct 13 20:18:12 2023	1697253492	0	727	727	648
Fri Oct 13 20:18:06 2023	1697253486	1	726	727	626
Fri Oct 13 20:18:11 2023	1697253491	1	726	727	670
Fri Oct 13 20:18:07 2023	1697253487	0	727	727	718
Fri Oct 13 20:18:12 2023	1697253492	0	728	728	654
Fri Oct 13 20:18:08 2023	1697253488	0	728	728	599
Fri Oct 13 20:18:17 2023	1697253497	1	727	728	696
Fri Oct 13 20:18:16 2023	1697253496	1	728	728	637
Fri Oct 13 20:18:16 2023	1697253496	1	728	728	622
Fri Oct 13 20:18:11 2023	1697253491	0	730	730	713
Fri Oct 13 20:18:07 2023	1697253487	0	731	731	504
Fri Oct 13 20:18:14 2023	1697253494	0	731	731	609
Fri Oct 13 20:18:08 2023	1697253488	0	731	731	715
Fri Oct 13 20:18:08 2023	1697253488	0	732	732	520
Fri Oct 13 20:18:17 2023	1697253497	0	732	732	638
Fri Oct 13 20:18:16 2023	1697253496	0	733	733	615
Fri Oct 13 20:18:12 2023	1697253492	0	733	733	655
Fri Oct 13 20:18:06 2023	1697253486	0	734	734	708
Fri Oct 13 20:18:11 2023	1697253491	0	735	735	703
Fri Oct 13 20:18:12 2023	1697253492	1	735	736	660
Fri Oct 13 20:18:15 2023	1697253495	1	737	738	345
Fri Oct 13 20:18:13 2023	1697253493	1	737	738	486
Fri Oct 13 20:18:08 2023	1697253488	1	738	738	597
Fri Oct 13 20:18:08 2023	1697253488	0	739	739	616
Fri Oct 13 20:18:14 2023	1697253494	1	739	739	558
Fri Oct 13 20:18:12 2023	1697253492	1	739	739	667
Fri Oct 13 20:18:17 2023	1697253497	4	737	741	666
Fri Oct 13 20:18:07 2023	1697253487	0	741	741	615
Fri Oct 13 20:18:13 2023	1697253493	1	741	742	577
Fri Oct 13 20:18:08 2023	1697253488	0	743	743	675
Fri Oct 13 20:18:11 2023	1697253491	1	743	743	681
Fri Oct 13 20:18:11 2023	1697253491	0	744	744	706
Fri Oct 13 20:18:06 2023	1697253486	0	744	744	709
Fri Oct 13 20:18:07 2023	1697253487	0	744	744	632
Fri Oct 13 20:18:12 2023	1697253492	1	743	744	666
Fri Oct 13 20:18:05 2023	1697253485	0	745	745	419
Fri Oct 13 20:18:12 2023	1697253492	1	744	745	661
Fri Oct 13 20:18:17 2023	1697253497	0	747	747	603
Fri Oct 13 20:18:17 2023	1697253497	0	747	747	567
Fri Oct 13 20:18:09 2023	1697253489	0	748	748	598
Fri Oct 13 20:18:11 2023	1697253491	1	747	748	704
Fri Oct 13 20:18:17 2023	1697253497	0	748	748	593
Fri Oct 13 20:18:15 2023	1697253495	0	748	748	736
Fri Oct 13 20:18:05 2023	1697253485	0	749	749	402
Fri Oct 13 20:18:08 2023	1697253488	0	749	749	523
Fri Oct 13 20:18:17 2023	1697253497	1	748	749	685
Fri Oct 13 20:18:16 2023	1697253496	0	749	749	730
Fri Oct 13 20:18:17 2023	1697253497	1	749	750	709
Fri Oct 13 20:18:07 2023	1697253487	0	751	751	666
Fri Oct 13 20:18:09 2023	1697253489	0	752	752	576
Fri Oct 13 20:18:09 2023	1697253489	0	752	752	538
Fri Oct 13 20:18:09 2023	1697253489	0	753	753	515
Fri Oct 13 20:18:12 2023	1697253492	1	753	753	697
Fri Oct 13 20:18:09 2023	1697253489	0	754	754	648
Fri Oct 13 20:18:16 2023	1697253496	1	755	755	692
Fri Oct 13 20:18:16 2023	1697253496	1	755	756	688
Fri Oct 13 20:18:16 2023	1697253496	0	757	757	600
Fri Oct 13 20:18:12 2023	1697253492	2	756	757	578
Fri Oct 13 20:18:16 2023	1697253496	1	757	758	677
Fri Oct 13 20:18:05 2023	1697253485	8	750	758	409
Fri Oct 13 20:18:08 2023	1697253488	0	758	758	724
Fri Oct 13 20:18:13 2023	1697253493	0	758	758	422
Fri Oct 13 20:18:08 2023	1697253488	1	758	759	628
Fri Oct 13 20:18:12 2023	1697253492	0	759	759	694
Fri Oct 13 20:18:08 2023	1697253488	0	759	759	571
Fri Oct 13 20:18:12 2023	1697253492	0	760	760	690
Fri Oct 13 20:18:06 2023	1697253486	0	760	760	738
Fri Oct 13 20:18:17 2023	1697253497	1	762	762	729
Fri Oct 13 20:18:08 2023	1697253488	0	763	763	621
Fri Oct 13 20:18:11 2023	1697253491	0	763	763	720
Fri Oct 13 20:18:12 2023	1697253492	0	764	764	694
Fri Oct 13 20:18:11 2023	1697253491	0	765	765	484
Fri Oct 13 20:18:09 2023	1697253489	0	765	765	690
Fri Oct 13 20:18:12 2023	1697253492	0	765	765	558
Fri Oct 13 20:18:08 2023	1697253488	1	765	766	618
Fri Oct 13 20:18:16 2023	1697253496	0	766	766	734
Fri Oct 13 20:18:16 2023	1697253496	0	767	767	707
Fri Oct 13 20:18:12 2023	1697253492	1	767	767	707
