starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 13 20:17:25 2023	1697253445	1	1222	1222	662
Fri Oct 13 20:17:35 2023	1697253455	0	1222	1222	1051
Fri Oct 13 20:17:26 2023	1697253446	1	1223	1223	877
Fri Oct 13 20:17:33 2023	1697253453	0	1223	1223	1043
Fri Oct 13 20:17:26 2023	1697253446	0	1224	1224	936
Fri Oct 13 20:17:26 2023	1697253446	0	1224	1224	1066
Fri Oct 13 20:17:26 2023	1697253446	0	1227	1227	901
Fri Oct 13 20:17:30 2023	1697253450	0	1228	1228	728
Fri Oct 13 20:17:30 2023	1697253450	1	1228	1229	724
Fri Oct 13 20:17:26 2023	1697253446	1	1228	1229	922
Fri Oct 13 20:17:26 2023	1697253446	0	1231	1231	926
Fri Oct 13 20:17:26 2023	1697253446	1	1231	1232	1031
Fri Oct 13 20:17:35 2023	1697253455	1	1231	1232	965
Fri Oct 13 20:17:25 2023	1697253445	0	1232	1232	662
Fri Oct 13 20:17:31 2023	1697253451	2	1230	1233	724
Fri Oct 13 20:17:26 2023	1697253446	0	1235	1235	1057
Fri Oct 13 20:17:36 2023	1697253456	0	1238	1238	918
Fri Oct 13 20:17:26 2023	1697253446	1	1239	1239	1070
Fri Oct 13 20:17:26 2023	1697253446	0	1242	1242	684
Fri Oct 13 20:17:26 2023	1697253446	1	1241	1242	919
Fri Oct 13 20:17:31 2023	1697253451	0	1244	1244	764
Fri Oct 13 20:17:26 2023	1697253446	1	1244	1245	675
Fri Oct 13 20:17:26 2023	1697253446	1	1246	1246	984
Fri Oct 13 20:17:25 2023	1697253445	1	1246	1246	648
Fri Oct 13 20:17:35 2023	1697253455	0	1247	1247	1086
Fri Oct 13 20:17:28 2023	1697253448	0	1247	1247	867
Fri Oct 13 20:17:30 2023	1697253450	0	1250	1250	759
Fri Oct 13 20:17:26 2023	1697253446	0	1251	1251	656
Fri Oct 13 20:17:33 2023	1697253453	1	1251	1251	1074
Fri Oct 13 20:17:33 2023	1697253453	0	1252	1252	1148
Fri Oct 13 20:17:26 2023	1697253446	1	1252	1253	949
Fri Oct 13 20:17:33 2023	1697253453	0	1255	1255	1155
Fri Oct 13 20:17:30 2023	1697253450	0	1256	1256	739
Fri Oct 13 20:17:26 2023	1697253446	1	1257	1258	1134
Fri Oct 13 20:17:26 2023	1697253446	1	1258	1258	958
